English Sentence,Hausa,Sexism
"Nope, nothing happened. She never filed a police report... she just """"confided"""" in the right people and the rumor mill did the rest. A lot of politics in the military, and even rumors destroy people.","A'a, babu abin da ya faru kai tsaye. Ba ta taɓa kai rahoto ga ‘yan sanda ba... kawai ta gaya wa wasu da suka dace abin da ya faru, sai jita-jita yayi tasiri. Akwai siyasa sosai a cikin rundunar soja, kuma jita-jita kaɗai na iya lalata rayuwar mutum",No
you don't praise women who act like cunts > >:( >must be an incel,Kar ka yabi mata masu yin abu kaman karuwai... bai dace ba,Yes
She may be worth what someone paid for her in terms of stimulating walking away.,"Wataƙila tana da darajar abin da wani ya kashe a kanta, idan za a yi la’akari da yadda take barin wajen cikin ƙasaita",No
"When I don't like a girl, who is not 'right' for me: I give her a can of porks and beans, stick an apple in her mouth, and throw her out the door.","Idan mace bata min ba, sai in ba ta gwangwanin wake da nama, in sa mata tuffa a bakin ta tamkar ina masa dariya, sannan in wurgo ta waje.",Yes
Yet women in the developing world seemingly have the balls to go into STEM in vastly higher numbers than the daughters of first world feminism. Very strange....,Amma mata a ƙasashe masu tasowa suna da ƙarfin guiwa su shiga fannoni na kimiyya da fasaha irin na (STEM) fiye da ‘ya’ya mata na ƙasashen da suka ci gaba waɗanda ke ƙarƙashin tasirin gwagwarmayar mata. Abin abin mamaki ne ƙwarai...,No
"Late teens are like the easiest girls to have sex with, why compicate shit?",Yan mata ƙasa da shekaru Ashirin sun sauƙin samun daman a kwanta da su. me yasa zaka wahalar da kan ka?,Yes
,"Idan aka tsaida jirgin kasa daga Kaduna zuwa Abuja nan da wata uku, a sa kowa, babba da talaka ya bi hanyar mota, kuna ganin za’a samu tsaro a hanyar?Idan aka watsa rundunonin soja su rike hanyar Kad/BG, za’a samu tsaro?",No
But first.... That bitch better get her ass in the kitchen and make me a sammich.,Amma kafin komai... wannan karuwan ta tashi ta shiga madafi ta haɗa min Sandwich,Yes
"Get tough looking guy friends, then have them accompany you when you go to ask out girls. They'll never say no, because of the implication.","Ku samu mazaje masu ƙarfi sai su raka ku wajen neman 'yan mata, baza su taɓa ƙi saboda tsoron abin da zai je ya dawo",Yes
,An hana sana’ar Adai daita sahu a Kano daga Goma na dare zuwa shida na safe …,No
"An accident is an accident and excusable. If I smelt bleach though, I'd push it down her neck, woman or no woman!","Hatsari dai hatsari ne kuma ana karɓan uziri, amma idan naji qamshin bleach sai na kwarara mata a wuya, ko wanene!",Yes
Why am I not surprised that ToroFA is implying that she's a dirty dishrag whore? Ghost of True Capitalist Radio is right. Women are a menace to society in America.,Me yasa ban yi mamakin yadda ToroFA ke nuna cewa ita karuwa ce mai datti?  Fatalwar Gidan Rediyon Jari-Hujja na Gaskiya daidai ne.  Mata barazana ce ga al'umma a Amurka.,Yes
,"Baba Buhari ne ya yanka PDP a 2015,kuma ya binneta a 2015,
Don haka PDP ta zama tarihi a Nigeria insha Allahu.",No
"[USER] """"I can smell her dying from here."""" :)","[USER] """" Ina jin alamun mutuwarta daga nan."" :)",Yes
Intentionally spill some wine on her and hope she takes off her clothes,Zuba mata Giyar wine da gangan hakan zai sa ta cire kayan jikinta,Yes
,"TAMBAYA !!! TAMBAYA !!! TAMBAYA !!!
WAI MEYASA WASU YAN SIYASA SUKE DAUKAN JAMA'A DA DELIGATE BASUSAN ME SUKEYIBANE WAI SAI SIYASA TAZA LOKACINNE AKESANIN AMFANIN MUTANE AMMAN IDAN LOKACIN YAWUCE TO KUNZAMA YAN ISKA DA SUNA INA DELIGATE YAKAMATA KUYI AIKIN ALLAH TUNDA BAKUSAN RANAN MUTUWARKUBA ALLAH YASA KUGANE",No
Stop being a fuckin pussy and tell her to grow the fuck up.,Dan Allah ka bar zama shasha kawai kace mata tayi hankali.,Yes
1406 BCE. Your grandmas pussy must be dry as fuck!,1406BCE. Farjin kakar ka/ki dole ne ya kasance a bushe.,Yes
A simple femoid who can not resist Chad's allure,Femoid kawai da ba zai iya jan hankali irin na chadi,No
An insufferable NPCUNT. She ask for his name and she turn it into sexual harassment.,NPCUNT mara nauyi.  Ta nemi sunansa sannan ta mayar da sunan na cin mutuncin jinsi.,Yes
,"TAMBAYA !!! TAMBAYA !!! TAMBAYA !!!
WAI MEYASA WASU YAN SIYASA SUKE DAUKAN JAMA'A DA DELIGATE BASUSAN ME SUKEYIBANE WAI SAI SIYASA TAZA LOKACINNE AKESANIN AMFANIN MUTANE AMMAN IDAN LOKACIN YAWUCE TO KUNZAMA YAN ISKA DA SUNA INA DELIGATE YAKAMATA KUYI AIKIN ALLAH TUNDA BAKUSAN RANAN MUTUWARKUBA ALLAH YASA KUGANE",No
"Insecurity is gross. Call her out on her bratty behaviour (yes, sometimes this means continuing EVEN AFTER she starts crying) or dump her asap.","Rashin kwarin gwiwa abin ƙyama ne. Ka fuskance akan idan tana nuna halayen rashin mutunci ko yaranta (eh, wani lokaci wannan yana nufin ci gaba da fuskantar ta ko da ta fara kuka), ko kuma ka rabu da ita cikin gaggawa.",Yes
[URL] Proof that the meth head bitch who ripped her own eyes out in South Carolina is a coal burner. Now she's a blind whore with a cunt that stinks like nigger shit-stink and AIDS.,[URL] Tabbacin cewa kurwar meth wacce ta fizge idonta a South Carolina mai kona kwal ne.  A yanzu ta kasance makauniyar karuwa ce mai wari kamar wari na niger AIDS.,Yes
"as if a virgin woman can't figure out within the first 5 seconds of sex how to lay there and take it and moan a little bit, all they need to do for good sex","kamar budurwa ba zata iya gane lamarin a cikin daƙiƙa 5 na farkon jima'i ba yadda ake kwanciya kuma a shiga sannan ta yi nishin jin daɗi kaɗan, duk abin da ake buƙata don jima'i mai kyau.",Yes
,Tunda team ustazai ta dawo kuzo mu tattauna matsalar Besty da kuma amfaninsa 😂😂😂,No
"Well we already had a feminist doctor killing off patients (Fuck you Dr. Barton, burn in hell cunt.) This is not surprising. The government want the men dead, and they'll get every woman in on it that they can.","To, mun riga mun sami likita 'yar kare hakkin mata ta kashe marasa lafiya (Fuck you Dr. Barton, ki ƙone a cikin gidan wuta.) Wannan ba abin mamaki ba ne.  Gwamnati na son mazaje su mutu, kuma za su sa kowace mace ta shiga cikin tafiyar in har za su iya.",Yes
Because she's a skank.,Saboda karuwa ce,Yes
,"Idan aka tsaida jirgin kasa daga Kaduna zuwa Abuja nan da wata uku, a sa kowa, babba da talaka ya bi hanyar mota, kuna ganin za’a samu tsaro a hanyar?Idan aka watsa rundunonin soja su rike hanyar Kad/BG, za’a samu tsaro?",No
"the stupid bitch thinks she's edgy and a 'bad ass'. these hoes are so fucking lame. bet the dumb bitch got 20,000 likes and simps saying retarded shit in her comments.","Wannan wawiyar 'yar iskar ta ɗauka ita jar wuya ce. waɗannan karuwan basu da aramshi, ina tunanin wancan karuwan ta samu yabo 20,000 kuma wasu wawaye suna zagi a wajen yin tsokaci",Yes
,An hana sana’ar Adai daita sahu a Kano daga Goma na dare zuwa shida na safe …,No
You dont. She has done 3 whole years on the streets. Let her remain in her habitat,"kar kayi. tayi shekaru uku a bariki, bar ta a wajen da ya dace da ita",Yes
,Tunda team ustazai ta dawo kuzo mu tattauna matsalar Besty da kuma amfaninsa 😂😂😂,No
,"Ina masu cewa batun cikin aisha buhari karyane ku Kalli wannan video 🙈.

ashe baba da lafiyarsa MashaAllah allah ya raba lafiya.

",No
Online dating culture. Any 5/10 girl and above would get the 99+ likes notification within a day of joining tinder. Gives them automatic abundance to spin plates. Plus feminism encourages them to sample as many dicks due to sexual liberation.,"Al'adar soyayya ta kan layi.  Duk wata yarinya 5/10 da sama za ta sami sanarwar yabo 99+ a lokacin da ta shiga tinder.  Hakan zai ba su dama wajen juya akala, Bugu da ƙari rajin kare hakkin mata yana basu daman fita a yayin da da yawa daga cikin mazakuta suka shirya yin jima'i",Yes
,"Baba Buhari ne ya yanka PDP a 2015,kuma ya binneta a 2015,
Don haka PDP ta zama tarihi a Nigeria insha Allahu.",No
"This girl got wrecked, can't remember anything (at all) and 'assumes' she was raped? CPS supposition at it's finest. [URL] #chedevans #uk #courts #justice","Yarinyar an lalata ta, ba za ta iya tuna komai ba (ko kaɗan) kuma wai 'tace' an yi mata fyaɗe?  CPS zato a mafi kyau.  [URL] #chedevans #uk # kotuna #adalci",Yes
,"Idan aka tsaida jirgin kasa daga Kaduna zuwa Abuja nan da wata uku, a sa kowa, babba da talaka ya bi hanyar mota, kuna ganin za’a samu tsaro a hanyar?Idan aka watsa rundunonin soja su rike hanyar Kad/BG, za’a samu tsaro?",No
This woman knows a lot about free dick!,Wannan tana da ilimi kan samu mazakuta kyauta!,Yes
,"Rashin 
Aure ma 
Azabace 
😭😭😭",No
,“Karya ne ka bi ya’yan mutane ka ce ba za a bi naka ba”…,No
"[URL] Where are the feminists decrying the violence against this woman? Why do feminists defend an ideology that claims women are second class citizens you can beat and rape if they aren't with their """"man""""?","[URL] Ina masu ra'ayin mata da ke yanke nuna kuke akan cin zarafin wannan matar?  Me ya sa 'yan mata ke kare wata aƙidar da ke ikirarin cewa mata 'yan ƙasa ne amma aji na biyu, wanda zaka iya dukan su kuma kayi musu fyaɗe idan ba sa tare da mazajen su?",Yes
,"( Maza ,suka ce ) 👉
Mata mutanen mu mata masu 
abun bamu❓
🌷👏🌷 ,",No
Holy shit fuck that woman.,Kai!! tsinuwa akan wancan matar.,Yes
,"Ki sani yake yar uwata, gwargwadon yadda kike kuLawa da mijinki gwargwadon yadda tunanin sa ze tsaya a kanki ke kadai👌🏽",No
,"KISANI AURE NE KAWAI ZAI TABATAR MAKI DA KOKE WACE CE 
ALLAH YABAKU MAZAJE 
🌷👏 NAGARI🌷👏",No
,"ANCE PDP KUNCE PositiveWER 
ANCE APC KUNCE CHANJI 
IDAN AKACE MAHAMMADU 
RASULINLA MIZAKUCE",No
"I like 19 year old pussy. I know, call me crazy...","Ina son farjin 'yan shekara 19, na sani, zaka iya ƙira na mahaukaci...",Yes
"I will never ask anyone out. They will have to do so, and I will deny any ugly degenerate whore so hard, to destroy her confidence utterly.","Ba zan taɓa tambayar kowacce yarinya zuwa hira ba. Za su yi haka, kuma zan ƙi duk wata karuwa da ƙarfi , don in tarwatsa mata ƙwarin gwiwanta kwata-kwata.",Yes
"Well i used to be fat skinny, and i fucking hated it. I had the strength of a women but belly of an alcoholic. Lost weight and gymmaxxed but no weight lifting can fix your face","To ni na kasance mai kiba, kuma na tsane hakan.  Ina da ƙarfin mace amma ciki na mashaya.  Rasa nauyi da gymmaxxed amma babu wani ɗaga nauyi da zai iya gyara fuskarka",No
"I don't know about you, but every girl on there swipes no for me except for the bots, prostitutes and fat/ugly black girls. From this I've concluded that tinder is a waste of time","Ban san ku ba, amma duk yarinyar da ke can wuce ni suke yi sai dai bots, karuwai da 'yan mata masu ƙiba/munana.  Daga nan na yanke cewa tinder ɓata lokaci ne.",Yes
This woman makes me almost believe in David Icke’s reptilian theory.,Wannan matar tana kusa da sa ni in yarda da ra’ayin David Icke na Reptilian theory.,No
"Holy shit, I’m reading some shit on your other comments about her having genital warts? You know what, do us all a favor and just cum in this chick already. You clearly haven’t learned shit here.","Kut..ina karanta wasu maƙala akan sauran maganganun ku game da ciwon farjinta? Ka san me, da zaka zuba maniyyi a cikin farjin ta da ka kyauta mana.  Hakan ya nuna baka samu ilimin komai ba kenan.",Yes
"2001 a Space Odyssey had two guys and a robot, but she was pretty bossy. The entire movie consisted of the crew trying to get her to shut up and stop breaking things. I'm exaggerating but, it is a classic and before feminism.","A cikin fim ɗin 2001: A Space Odyssey, akwai maza biyu da na’ura mai hankali (robot), amma tana da ɗabi’ar yin katsalandan sosai. Gaba ɗaya fim ɗin ya nuna ƙoƙarin masu jirgin na hana ta ci gaba da lalata abubuwa da yin magana. Ina yin wasa da kalmomi, amma fim ɗin yana daga cikin na tarihi kafin zuwan gwagwarmayar mata.",No
Lol. My therapist is an attractive young and sweet lady. I won’t be ghosting her anytime soon,"Abin dariya, Likitar tunanina kyakkyawa ce, yarinya kuma mai kirki. Ba zan bar ta haka kawai ba a kowane lokaci kusa ba",No
Men are better at everything than women. Even when it comes to looks.,"Maza sun fi mata komai, hatta kyawun fuska.",Yes
"It's a sad day for men when a once virile, gold-medal American olympic champion decides he'd rather be female..TRP is more important now than ever....","Wata rana mai baƙin ciki ce ga maza idan gwarzon wasannin Olympics daga Amurka wanda ya taɓa kasancewa ƙarƙashin ƙarfi da kuzari, ya yanke shawarar zama mace. Wannan yana nuna muhimmancin ra’ayoyin TRP fiye da da.",Yes
,ZAGIN BABA BUHARI Fasiqancine Domin Shugaban kane Indaikai Dan Najeriya ne Baba Allah Yaqara Shiga Lamuranka,No
"I got """"metoo-ed"""" holy shit lol. It's funny and also scarily possible.","An min """"metoo-ed"""" abin dariya kuma abin tsoron da zai iya tabbata.",Yes
,"Allah Sarki mu.Yan Arewa kullum
Sai kisan gilla akemana.ba'a daukan
Matakin.da yadashe. Sai hakuri ake ta faman bamu.",No
"Happened to my buddy too, was the best man in his wedding, talked to him once since and that was like 3 years ago. His wife is a bitch and forced him to purge all the friends of his she didn't like out of his life.","Hakan ma ya faru da abokina; ni ne babban shaida a bikin aurensa, amma tun wancan lokaci na yi magana da shi sau ɗaya kacal  kusan shekaru uku kenan da suka wuce matarsa 'yar iska ce, sai da ta raba shi da duk abokan sa wanda ba su mata ba.",Yes
,"Matsalar face book kenan labari daya idan aka samu sai an sudeshi tsaf 😂
Yanzu dai duk inda ka leka labarin wani mara daraja ake waishi Besty 🙄",No
"Or where you tell her everything and anything, and she constantly lies, manipulates, deceives, gas lights, and abuses!","Ko kuma lokacin da ka gaya mata komai da gaskiya, amma kullum tana ƙarya, yaudara, amfani da dabarun ruɗu, da cin zarafi.",Yes
,"CANJIN SHEKA DAGA JAM'IYAR APC ZUWA JAM'IYAR NNPP MAI ALAMAR KAYAN DADI A KARAMAR HUKUMAR BIRNIWA....

A yau laraba wacce daidai da 29/6/2022. Jam'iyar NNPP mai alamar kayan dadi reshen jahar jigawa karamar hukumar BIRNIWA tayi babban kamu a matsabar KARANKA dake karamar hukuma BIRNIWA

Inda ta karbi dandazon matasa sama da mutum dari 100 a garin MASEWA Dakuma KAABEWA dake mazabar KARANKA. Matasan sun bayyana dalilin su na barin Jam'iyar APC yayinda sukayi bayani kaman haka.....
""Mun bada duk wata gudumawa da ake bukata daga wajen matasa a kakar zaben 2015 tare da yakinin zamuga alkhairi dakuma canji kaman yadda suka fada. Amma sai gashi sunci amanar mu sun yaudaremu har gara jiyama duba da irin halin da kasa take ciki tun daga matakin kasa har izuwa karamar hukuma, wannan shine kadan daga cikin dalilin dayasa muka yanke hukuncin sauya sheka izuwa wannan Jam'iya ta NNPP""

Daga karshe wakilin shugaban Jam'iya MAL SANI MADU GUNSUMI tare da wakilan sectary jam'iya kuma Dan takarar REP mai wakilar BIRNIWA, GURI, KIRI KASAMMA, ALH ADAMU HASSAN ABUNABO dakuma Dan takarar Dan majalissar Jaha mai wakiltar karamar hukumar BIRNIWA HON IDRIS ALIYU KOLOMI Sun karbi wannan matasa hannu bibbiyu tare da addu'ar Allah ya bawa wannan Jam'iya tamu ta NNPP nasara tun daga matakin kasa har izuwa karamar hukuma 

SIYASA DA KULawA..
#NNPPALHERI",No
"[USER] Yeah, liberal women are so dumb they almost deserve the destruction that would befall them if they were thrown among muslims. Liberal women are about hopeless, they really are.","[User] E, Mata masu zaman kan su wawaye ne, sun cancanci duk wani tangarɗa da zai same su idan aka sanya tsakanin musulmai, Mata masu zaman kan su lalatattu ne, tabbas haka suke.",Yes
,"ALHMDULILLAH

Yan uwa kusani cikin adduarku na rabauta da kujerar SSA. Allah yasa musauke nauyin da aka dora mana naganin munzama wakilan jam'iyarmu ba wakilan kanmuba.

Ina mika godiyata ta musamm ga jagororinmu

Hon. Ibrahim Ahmad karaye(madakin karaye).

Maigidana wato oga katafila sarkin aiki Hon.Balarabe isyaku Bade.

Sai karaminsu kuma babbansu Hon. Aminu Musa Ado Karaye

Da sauran yan jam'iya manya da yara ina godiya da wannnn karamci da akayimin .

Nagode! Nagode!! Nagode",No
"How to beat a woman, the right way ... lol","Yanda zaka bugi mace, ta hanyar da ta dace.. abin dairya",Yes
,"Kwankwaso ne kadai idan muka zabe shi zai tsaya a Nigeria yayi mana aiki, mun gani da yana gwamna sai ka iya irga sau nawa yaje Abuja, idan kaga yafita kasar waje Umarah yaje ko India ko Sudan dubo lafiyar daliban da yakai.

Idan muka zabi Atiku, kullum yana hanyar zuwa Dubai da China, ko Mai ke faruwa indai Arsenal suna wasa sai ya tafi ingila kallon wasan. kuma dai kunsan yana da hannun Jari a kanfaninnikan kasar waje da dama, babu yadda za'ayi ya bar kasuwancinshi ya karye saboda ku, dole ya dunga fita yana bibiya. 

idan kuwa muka zabi Bola tinubu, babu party ko gayyatacciyar dinner da zai ki halarta a America, ko France da sauransu. kullum yana Kan iska. kun san yarabawa da son party, ko benchi aka kada sai sunyi rawa. Kuma shima gashi dan kasuwa Mai hannun Jari a kanfaninnikan waje da dama , dole ya bibiyi investment. 

Yan kasa kuyiwa kanku karatun ta natsu kada muje mu kara zabo YAWALE PART 2. shawarace.

Munga yadda marigayi General Sani Abacha ya zauna bai fita ko Ina ba ya gina kasar shi. munga yadda kwankwaso yana gwamna ya zauna a jihar Kano wanda shiyasa ma suke cemasa Local Champion amma ya gina jihar shi. 

Muhd_RH",No
,Ina ma zai yiwu a gaya mana ko kudin mu nawa aka kashe a tafiyan Shugaba Buhari Dubai da Ministoci goma da sauran jami’ai a wannan halin da muke ciki?Sannan a gaya mana amfanin da zai biyo wannan sharholiyar?,No
"LOL. Wall up,titless,butless,hag trying to stay in the spotlight. Notice how these bitches are all about caring but have done nothing to actually help those in need with their tons of money? So fucking fake.","LOL. wadda basu da nono kuma basu da mazaunai, karuwai wanda suke dage sai sun ci gaba da kasancewa shahararru, ka lura da yanda waɗannan karuwan suke nuna sun damu amma basu aikata komai don taimakon mabuƙata da kuɗin su mai tarin yawa? Maƙaryata kawai.",Yes
,"TSOHUWA tace yaro kai ne ZULUM? yace eh MAMA nine ta ce kai ne GWAMNA? yace eh MAMA

Ta ce ZULUM Allah yayi maka albarka, ya kare gaban ka da bayanka.Allah yasa kagama da duniya Lafiya.

Kai mai karantawa don Allah daure kace Ameen Kuma Kayi Sharing",No
,Kai Jama'a rijiya ta bada ruwa kogi ya hana sakon nan nawa kaitsaye Zuwa ga gwamnatin Jihar Jigawa akan maganar J tech mu a Nahuche Sunayen wanda suka fito wani mutum wanda yake aiki a ma aikatar ilimi ta Jiha ya cire Sunayen 'Yan Nahuche mai girma Gwamna Alh Muhammad Badaru Abubakar Talamiz kai jagoran Talakawa ne Sabo da haka muna mukatar a Taimaka mana Shifa Wannan mutumin na sanshi kuma har gidansa Nasani kuma friend dina Sannan kuma Babban mutum Sannan kuma mak'abcin garinmu ne kai Bawan Allah Matsalarka da mutum daya ko biyu bai kamata tashafi 'Ya'yan Talakawan Nahuche ba!! Mai girma gwamna A duba mana dan Allah tun bamu fara fitowa muna zano sunansa ba! Zan dan takaita kanna ci gaba.,No
Actually she looks more the back end of a donkey.,A gaskiya tafi kama da bayan jakai.,Yes
,"Mai Gidan Mu Yadda Kake Faran ta wa Alumma kaima Allah Ya Faran ta Ma.

Amin.

",No
i don't wanna suck any beef curtain flaps 😂,Bana son tsotsar naman sa😂,Yes
,"Salisu T. Balarabe, daraktan shirin nan mai farin jini na Kwana Casa'in, ya bayyana dalilinsu na sauya tauraruwar da ke taka rawa a matsayin Salma.",No
,"Ni Ba Cikakkiyar Budurwa Ba Ce, In Ji Rahama Sadau

Fitacciyar Jarumar Kannywood Rahama Sadau ta bayyana cewa ita ba cikakkiyar budurwa ba ce, ta jima da rasa budurcinta ba kuma ta hanyar aure ba.

Ta ce"" Kowa da irin dabi'arsa, ni ba na munafunci cikin lamurana, na rasa budurcina tuntuni, ban taba yin aure ba, amma ba zan iya lissafa ko sau nawa na zubar da ciki a jikina ba."" 

Mene ra'ayinku?

Majiya:- Kano Online Tv",No
,"Rayya Matar Manya!
Me ya sa Rayya take da farin jini kamar kuɗi?
📷 Arewa24",No
"With all the money that she received from loser men and still didn't have any common sense whatsoever to save any as a back up when shit goes side ways, which she reaps what she sows and an army of loser men will save her.","Duk da yawan kuɗaɗen da ta karɓa daga mazan da ba su da cikakken hangen nesa, har yanzu ba ta samu hankalin tanadi ko ajiya ba domin kariya idan al’amura suka rikice. Amma yanzu tana fuskantar sakamakon abin da ta shuka, kuma wata kila wasu daga cikin waɗannan mazan za su zo su taimake ta.",Yes
,Ina rashin lafiya.Ina barar addua.Nagode.Allah Ya saka da alheri.,No
,RANAR MUTUWAR MUMINI RANAR FARIN Ciki Agareshi Ya Allah Kakar6i Ranmu Muna Masu Imani,No
Don’t forget society tells these women they are plus sized queens instead of telling them they are fat and need to lose weight.,"Kada a manta, al’umma na gaya wa waɗannan mata cewa su sarauniyar masu jiki ne maimakon a gaya musu gaskiya cewa suna da kiba kuma ya kamata su rage nauyi don lafiyarsu.",Yes
,Assalamualaikum mata a yau kuna kokari amma yakamata kurika gayyatar malamiai mata akoina a arewacin nagerianan suna fadakarwa da bada shawara Shirin zai kara armashi sosai da kwadatuwar sauraro Allah ya ya kara daukaka,No
"Women initiate sex all the freaking time.... But you have to make the environment conducive to that. If you maintain a relationship with her where she feels comfortable, sexy, appreciated, etc. she will initiate like crazy.","Mata ke fara kawo jima'i a ko yaushe, amma dole ka samar da yanayin da ya dace. idan ka iya kula da dangantaka da ita yanda take samu nutsuwa da kwanciyar hankali ko yaushe ita ce zata farar da jima'i.",Yes
,"Ga tambaya ga yan Nigeria
NIGERIA sai ........................
In Buhari ne press A
In Atiku ne press B",No
,"Nafisa ta ce ba za ta iya ci gaba da fitowa a shirin na ‘Labarina’ ba saboda wasu dalilai na kashin kanta, sai dai wasu majiyoyi sun tabbatar wa BBC Hausa cewa ta dauki matakin ne saboda an samu rashin jituwa tsakaninta da mai shirya shirin, Aminu Saira.",No
How’d your mom get a dick?,Ta yaya mamarka ta samu mazakuta?,Yes
,Wallahi ribar musulmi a facebook itace aduk sanda kaji wani yace annabi muhammad yace Sallallahu alaihi wassalam,No
"Fair enough I agree with you, telling your daughter she's too ugly for the guy she is crushing on is a horrible thing to say. That's why fathers will instead emphasize that many men are looking for sex so she can put two and two together herself.","Gaskiya ne, na yarda da kai. Faɗa wa ɗiyarka cewa ba ta da kyau sosai har ma ba ta dace da saurayin da take so, abin kunya ne kuma kalma ce mai muni. Shiyasa da yawan iyaye suke faɗa wa 'ya'yan su cewa maza na son kwanciya da su ne, ta haka ne zasu fahimci abin da ake so a isar.",Yes
,Wai Dan Allah meyasa daga zaran mace tasamu ciki namiji ke gudun ta 😪😪,No
,Naceba.... Zaku zo muyi Dan modinne ko Kuma har yanzu kuna nanaye. Maganar Gwamnan Gobe muke a Jigawa.,No
"Occasionally, without me knowing it, my wife's vagina will reset itself from the original factory settings to 'Challenge Mode.'","Lokaci-lokaci, ba tare da na sani ba, farjin matata zai sake saita kanta daga ainihin saitunan masana'anta zuwa 'Yanayin ƙalubale.'",Yes
She was my crush until the retarded feminist shit rotted her brain (she graduated college with a 4.0).,"Tana daga cikin waɗanda nake so a baya, sai dai ra’ayoyin mata masu tsattsauran ra’ayi sun canja tunaninta gaba ɗaya (duk da ta kammala jami’a da 4.0).",Yes
,APC zamuyi ba mix Insha'Allah,No
,"A madadin Baffa na, malam Abubakar Muktar Adam , shugaban kungiyar Kwankwasiya pillar of the Nation. Allah ya sanya alkhairi.",No
"Moreover, the only two types of people that really care are natsocs that think every person of a certain race needs five kids minimum and women scared they'll be left to raise a child alone. To be a man is to serve to them, of course.","Bugu da ƙari, kawai nau'ikan mutane biyu waɗanda ke kulawa da gaske sune natsocs waɗanda ke tunanin kowane mutum na wata kabila yana buƙatar ƙaramin yara biyar kuma mata suna jin tsoron za a bar su don haɓaka ɗa kaɗai.  Don zama namiji shine yi musu hidima, ba shakka.",Yes
,Yanzu kana haduwa da tsohuwar budurwar ka sai tafara yima gwalo wai hakan me yake nufi ne?,No
